lat,lon,elevacao_m
-22.7525752,-46.6000898,
-20.2475454,-50.2259611,
-20.5371263,-50.9176111,
-23.2201503,-49.0523759,
-22.910484,-50.6943565,
-23.163115,-46.3882081,
-23.0968613,-46.4325094,
-22.7705275,-46.5911143,
-22.6327998,-46.5368374,
-21.948659,-50.5261724,
-21.9584513,-50.4819403,
-23.4260802,-47.7150272,
-22.7884477,-46.6055952,
-22.6175992,-46.5223162,
-23.2167649,-49.0984811,
-23.477125,-47.6900201,
-22.6310888,-46.5355818,
-22.7977026,-46.5589571,
-22.843143,-49.2402506,
-22.7811028,-49.9342521,
-22.7910299,-46.5752693,
-23.0185244,-47.8428409,
-23.208079,-49.1419587,
-22.5836257,-46.514344,
-22.5805712,-46.5124247,
-23.4209448,-47.7164295,
